Company Name,Industry group,ISIN code,NSE symbol,Date,Total income from continuing operations,Net sales,Total expenses,Interest expenses,Depreciation,Total tax provision,Net Profit/(Loss) for the period from continuing operations (after tax),Reported Profit after tax,PBT,PBDT,PBDIT,PBIT net of P&E,Earnings per share before extraordinary item,Closing Price,Date.1,Closing Price.1,Shares Outstanding,Market Capitalisation,EPS,P/E,Number of Transactions,Enterprise value,Industry P/E,Beta,industry_score
3M India Ltd.,"Plastic furniture, floorings & miscellaneous items",INE470A01017,3MINDIA,31-12-2022,943.41,932.22,818.55,0.56,13.88,38.46,112.77,112.77,151.23,165.11,165.67,151.79,100.11,34830.95,,23145.65,11265070,26073.736745,346.895314,66.722291,267,24891.636745,52.52,0.815759,-0.21696835575475118
A B B India Ltd.,"Generators, transformers & switchgears",INE117A01022,ABB,31-12-2022,2496.92,2426.91,2178.04,7.24,26.82,94.32,305.91,305.32,399.45,426.27,433.51,407.47,14.41,5175.8,,2826.55,211908375,59896.961736,29.890749,94.562703,1956,56780.971736,78.35,0.768015,-0.19481232573431395
A C C Ltd.,Cement,INE012A01025,ACC,31-12-2022,4577.66,4536.97,4348.65,18.83,171.56,39.04,110.45,110.45,149.49,321.05,339.88,247.42,5.88,1752.65,,1969.35,187787263,36981.884639,37.249065,52.869783,8437,30181.494639,48.83,0.976876,-0.2010629948632316
A D F Foods Ltd.,Processed foods,INE982B01027,ADFFOODS,31-12-2022,102.34,99.77,79.48,0.16,1.44,7.48,19.22,19.22,26.7,28.14,28.3,26.86,1.75,209.45,,763.05,21972719,1676.628323,23.524626,32.436222,372,1585.448323,67.56,1.414542,-0.13872794997574678
A G I Greenpac Ltd.,Glass & glassware,INE415A01038,AGI,31-12-2022,570.4,567.3,529.48,13.13,30.25,16.04,53.23,53.09,69.08,99.33,112.46,82.4,8.21,721.85,,326.05,64697381,2109.458108,24.643965,13.23042,1510,3226.098108,33.34,1.149549,-0.21582624876912887
A I A Engineering Ltd.,Castings & forgings,INE212H01026,AIAENG,31-12-2022,1178.83,997.11,781.2,5.21,23.95,89.69,355.13,355.13,444.82,468.77,473.98,450.03,37.65,3801.6,,2747.75,94320370,25916.879667,95.092926,28.89542,2817,24164.489667,31.58,0.613337,-0.2665632139865167
A P L Apollo Tubes Ltd.,Steel pipes & tubes,INE702C01027,APLAPOLLO,31-12-2022,3770.8,3761.18,3641.96,14.02,24.11,47.19,133.18,133.18,180.37,204.48,218.5,194.39,5.32,1820.65,,1147.15,277330814,31814.004328,22.73999,50.446372,1432,31865.704328,31.67,1.274783,-0.2615999515821926
A U Small Finance Bank Ltd.,Banking services,INE949L01017,AUBANK,31-12-2022,2412.96,2118.07,2020.13,965.34,13.67,130.24,392.83,392.83,523.07,523.07,1488.41,1488.41,5.9,985.15,,619.0,666604903,41262.843496,20.252026,30.564843,5624,41325.113496,18.44,1.36748,0.17737526706292647
A V T Natural Products Ltd.,Other agricultural products,INE488D01021,AVTNPL,31-12-2022,148.23,148.23,146.09,1.21,4.08,6.72,14.84,14.84,21.56,25.64,26.85,22.77,0.97,65.56,,98.15,152284000,1494.66746,5.046492,19.449154,320,1499.79746,20.22,1.511209,-0.2965763986089119
A W L Agri Business Ltd.,Vegetable oils & products,INE699H01024,AWL,31-12-2022,14789.9,14713.94,14057.58,237.25,80.57,103.43,277.07,277.07,380.5,461.07,698.32,617.99,2.13,244.6,,466.9,1299678605,60681.994067,5.605694,83.290318,7577,66644.854067,51.57,0.986907,-0.1258329722967099
Aarti Drugs Ltd.,Drugs & pharmaceuticals,INE767A01016,AARTIDRUGS,31-12-2022,626.5,625.53,566.12,9.12,11.87,12.25,36.71,36.71,48.96,60.83,69.95,58.08,3.96,381.9,,400.9,92600000,3712.334,16.483801,24.320846,1001,4229.474,39.53,1.053981,-0.19195911292555537
Aarti Industries Ltd.,Other chemical products,INE769A01020,AARTIIND,31-12-2022,1635.0,1635.0,1581.0,45.0,82.0,24.0,135.0,135.0,159.0,241.0,286.0,204.0,3.73,369.4,,539.05,362504035,19540.780007,-3.594443,30.7236545,3090,21954.650007,37.65,0.982292,-0.24540235502819857
Aarti Pharmalabs Ltd.,Drugs & pharmaceuticals,INE0LRU01027,AARTIPHARM,31-12-2022,359.37,359.33,330.1,5.12,14.56,11.25,38.54,38.54,49.79,64.35,69.47,58.04,4.25,747.25,,358.3,90626008,3247.129867,17.822698,20.103578,542,3574.319867,39.53,1.153431,-0.19195911292555537
Aavas Financiers Ltd.,Housing finance services,INE216P01012,AAVAS,31-12-2022,411.96,411.25,304.69,150.35,6.9,30.7,107.27,107.27,137.97,144.87,295.22,288.32,13.57,1459.55,,1809.5,79039378,14302.175449,53.007755,34.136514,1451,20796.725449,33.51,0.892812,-0.16633546810173813
Abans Financial Services Ltd.,Asset management services (mutual funds),INE00ZE01026,AFSL,31-12-2022,0.54,0.5,0.42,0.3,13.67,0.04,0.12,0.12,0.16,0.16,0.46,0.46,0.03,202.05,,243.35,50145950,1220.301693,0.067802,3589.122627,683,1229.581693,60.13,1.725103,-0.16490924722718592
Abbott India Ltd.,Drugs & pharmaceuticals,INE358A01014,ABBOTINDIA,31-12-2022,1366.42,1322.19,971.82,3.79,17.81,87.31,246.83,246.83,334.14,351.95,355.74,338.62,116.16,28039.3,,20842.4,21249302,44288.6452,437.12024,47.68116,175,41693.4952,39.53,0.40799,-0.19195911292555537
Accelya Solutions India Ltd.,Computer software,INE793A01012,ACCELYA,31-12-2022,100.76,98.8,77.46,0.55,8.15,7.59,23.3,23.3,30.89,39.04,39.59,31.44,15.61,1314.05,,1420.85,14926261,2120.797794,65.026332,21.850379,725,2106.847794,29.01,0.579041,-0.22129977102466347
Action Construction Equipment Ltd.,Mining & construction equipment,INE731H01025,ACE,31-12-2022,560.33,555.3,530.89,3.11,4.29,15.56,44.71,44.71,60.27,64.56,67.67,63.38,3.75,927.2,,332.95,119083196,3964.875011,12.132694,27.44238,2919,3848.285011,-52.26,1.927062,-0.23291766806118053
Acutaas Chemicals Ltd.,Drugs & pharmaceuticals,INE00FF01025,ACUTAAS,31-12-2022,155.38,152.36,176.02,1.19,3.06,7.28,22.28,22.28,29.56,32.62,33.81,30.75,6.12,1649.35,,892.95,36437062,3253.647451,21.258575,42.004227,110,3153.877451,39.53,0.833291,-0.19195911292555537
Adani Energy Solutions Ltd.,Diversified,INE931S01010,ADANIENSOL,31-12-2022,407.77,271.14,308.67,35.27,0.04,13.14,99.1,99.1,99.1,99.14,134.41,134.37,0.89,988.5,,1773.95,1115492683,197882.824501,1.077103,1646.964831,29854,206422.414501,116.56,1.398376,-0.18790891179554034
Adani Enterprises Ltd.,Wholesale trading,INE423A01024,ADANIENT,31-12-2022,12515.4,12142.15,10215.45,422.5,31.9,103.55,269.71,269.71,373.26,405.16,827.66,795.76,2.36,2239.05,,2975.0,1140001121,339150.333497,12.220251,243.448352,38147,343493.343497,116.56,1.883354,-0.23739051576619835
Adani Green Energy Ltd.,Wholesale trading,INE364U01010,ADANIGREEN,31-12-2022,1052.0,918.0,1665.0,257.0,3.0,-1.0,-127.0,-127.0,-128.0,-125.0,132.0,129.0,-0.9,1021.5,,1224.05,1584032478,193893.49547,-1.306791,30.7236545,46099,211062.49547,116.56,1.235574,-0.23739051576619835
Adani Ports & Special Economic Zone Ltd.,Shipping transport infrastructure services,INE742F01042,ADANIPORTS,31-12-2022,1817.25,1378.24,1805.85,1178.15,152.1,11.87,11.4,11.4,23.27,175.37,1353.52,1201.42,0.05,1496.0,,612.8,2160138945,132373.31455,-8.135356,30.7236545,28994,172618.19455,-95.73,1.203827,0.7050797938604265
Adani Power Ltd.,Conventional electricity,INE814H01029,ADANIPOWER,31-12-2022,8195.31,7635.49,7950.32,928.38,794.95,199.34,244.99,244.99,444.33,1239.28,2167.66,1372.71,3.42,141.7,,223.9,3856938941,86356.862889,26.22432,8.537876,9335,126518.972889,12.17,1.992288,-0.03716679162073462
Adani Total Gas Ltd.,Natural gas trading & distribution,INE399L01023,ATGL,31-12-2022,1113.76,1105.56,964.02,6.31,31.06,52.67,148.39,148.39,201.06,232.12,238.43,207.37,1.35,568.8,,2112.9,1099810083,232378.872437,4.514325,468.04341,2978,233342.712437,26.49,1.236776,0.12937326070838082
Aditya Birla Capital Ltd.,Other fund based financial services,INE674K01013,ABCAPITAL,31-12-2022,9.84,7.95,10.69,0.02,0.2,1.69,-0.85,-0.85,0.84,1.04,1.06,0.65,3.42,348.8,,141.05,2417197339,34094.568467,0.543357,259.590136,2448,34101.288467,33.67,1.576482,-0.23981065613779393
Aditya Birla Fashion & Retail Ltd.,Retail trading,INE647O01011,ABFRL,31-12-2022,3388.1,3358.86,3331.86,117.59,287.52,18.2,56.9,56.9,75.1,362.62,480.21,190.51,0.59,76.7,,256.6,948752198,24344.981401,5.096905,50.344276,1678,27522.411401,131.24,1.092099,-0.07458873961639617
Aditya Birla Real Estate Ltd.,Diversified,INE055A01016,ABREL,31-12-2022,1182.01,1168.2,1195.13,23.35,55.94,19.54,32.52,32.52,52.06,108.0,131.35,75.41,2.91,1739.65,,702.95,111695680,7851.647826,20.214748,34.774117,4945,8991.137826,15.79,1.576208,-0.18790891179554034
Aditya Birla Sun Life A M C Ltd.,Asset management services (mutual funds),INE404A01024,ABSLAMC,31-12-2022,357.63,308.74,192.63,0.93,8.37,56.4,165.0,165.0,221.4,229.77,230.7,222.33,5.73,760.95,,419.8,288000000,12090.24,21.365278,19.648703,689,12132.27,24.98,0.276696,-0.16490924722718592
Aditya Vision Ltd.,Retail trading,INE679V01027,AVL,31-12-2022,318.26,317.85,356.14,6.69,6.06,4.37,19.52,19.52,23.89,29.95,36.64,30.58,16.23,486.35,,1406.25,12028500,1691.507812,51.918361,27.085794,658,1944.487813,131.24,1.437227,-0.07458873961639617
Advanced Enzyme Technologies Ltd.,Other chemical products,INE837H01020,ADVENZYMES,31-12-2022,83.43,79.68,62.39,0.02,2.61,5.68,16.64,16.64,22.32,24.93,24.95,22.34,1.49,308.85,,280.55,111822075,3137.168314,4.552768,61.621849,1040,3104.098314,37.65,1.031594,-0.24540235502819857
Aegis Logistics Ltd.,Storage & distribution,INE208C01025,AEGISLOG,31-12-2022,901.98,876.59,754.64,3.09,4.31,21.68,86.71,86.71,108.39,112.7,115.79,111.48,2.47,735.85,,381.75,351000000,13399.425,21.437892,17.807255,3152,14064.715,19.79,0.974988,-0.14144513751477977
Aether Industries Ltd.,Organic chemicals,INE0BWX01014,AETHER,31-12-2022,170.53,167.13,164.64,0.44,6.4,8.83,35.04,35.04,43.87,50.27,50.71,44.31,2.81,837.85,,890.3,124510721,11085.189491,9.361443,95.102861,327,11343.399491,41.8,0.902227,-0.1787325857282407
Affle 3I Ltd.,Business services & consultancy,INE00WC01027,AFFLE,31-12-2022,144.15,137.27,122.67,0.01,2.01,7.25,21.48,21.48,28.73,30.74,30.75,28.74,1.61,1716.2,,1102.9,133251060,14696.259407,4.429984,248.962551,1197,14211.429407,60.13,1.428581,-0.22231802174705587
